,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_V1_ROI',"1,149","2,155","0,035","1,812","1,278","0,206","9,846","0,188","0,851","1,481","-1,733","0,088","10,887","0,604","0,548","8,915","-0,648","0,519","8,494","-0,256","0,799","6,822","-0,429","0,670","5,614","-0,256","0,799","1,491","3,508","0,001","8,754","-0,106","0,916","1,000"
'L_V6_ROI',"1,945","1,622","0,110","0,626","1,655","0,103","7,224","-0,090","0,928","7,087","-0,274","0,785","3,714","-0,762","0,449","5,106","0,863","0,392","10,138","-0,775","0,442","5,675","-1,009","0,318","4,189","-0,775","0,442","7,424","0,222","0,826","0,750","1,610","0,113","2,000"
'L_V2_ROI',"1,788","2,582","0,012","1,589","1,283","0,204","6,505","-0,178","0,859","1,715","-1,796","0,077","6,601","-0,366","0,716","8,220","-0,279","0,781","9,657","-1,060","0,294","7,301","-0,685","0,496","6,351","-1,060","0,294","2,465","2,805","0,007","5,275","0,355","0,724","3,000"
'L_V3_ROI',"2,926","1,728","0,089","2,036","0,979","0,331","10,365","0,304","0,762","3,421","-1,319","0,192","3,303","-1,016","0,314","6,734","0,542","0,590","11,762","-1,537","0,131","7,218","-0,021","0,984","7,201","-1,537","0,131","4,103","2,437","0,018","5,016","0,380","0,705","4,000"
'L_V4_ROI',"6,554","1,293","0,201","0,813","1,653","0,103","2,443","-0,893","0,375","3,257","-1,578","0,120","2,804","-0,908","0,367","7,736","-0,203","0,840","3,606","0,834","0,408","6,938","-0,318","0,752","7,029","0,834","0,408","6,405","1,273","0,209","3,290","0,668","0,507","5,000"
'L_V8_ROI',"8,078","1,202","0,234","1,768","1,722","0,090","3,765","-0,776","0,441","5,622","-1,228","0,224","11,124","0,506","0,615","7,356","-0,717","0,476","6,030","0,586","0,560","5,319","-1,053","0,298","4,620","0,586","0,560","7,688","0,642","0,524","6,464","0,257","0,798","6,000"
'L_4_ROI',"8,023","-0,107","0,915","5,056","0,530","0,598","8,743","0,113","0,910","7,858","0,745","0,459","1,110","-1,634","0,107","6,681","-0,623","0,536","7,441","-0,399","0,691","6,036","-0,710","0,481","6,961","-0,399","0,691","1,488","1,916","0,061","9,128","-0,620","0,538","7,000"
'L_3b_ROI',"8,509","-0,195","0,846","5,957","0,411","0,683","11,292","0,873","0,386","8,128","0,616","0,540","0,594","-1,921","0,059","7,826","-0,265","0,792","8,433","-0,901","0,372","7,187","-0,217","0,829","7,332","-0,901","0,372","0,579","2,698","0,009","11,268","-0,666","0,508","8,000"
'L_FEF_ROI',"8,102","0,468","0,642","7,805","0,760","0,450","7,769","0,571","0,570","6,024","-0,705","0,483","7,973","-0,012","0,990","4,650","-0,844","0,402","7,105","-0,107","0,915","3,360","-1,222","0,227","2,704","-0,107","0,915","4,912","1,491","0,142","6,525","-0,479","0,634","9,000"
